Var1,Var2,Var3
id,intensity,label
1,0.0825858772283128,Primary_Visual_Cortex_L
2,0.0302636033146675,Second_Visual_Area_L
3,0.0568130363720931,Third_Visual_Area_L
4,0.101258988033857,Fourth_Visual_Area_L
5,0.126729982880091,IntraParietal_Sulcus_Area_1_L
6,0.0993354618870273,Area_V3A_L
7,0.197921559680982,Area_V3B_L
8,0.122668794523852,Sixth_Visual_Area_L
9,0.0424597117421359,Area_V6A_L
10,0.114061036101769,Seventh_Visual_Area_L
11,0.0141908342717609,Fusiform_Face_Complex_L
12,-0.0472332420804064,Posterior_InferoTemporal_complex_L
13,0.0759412499723243,Eighth_Visual_Area_L
14,0.0528940648906645,VentroMedial_Visual_Area_1_L
15,0.109907687135939,VentroMedial_Visual_Area_2_L
16,0.0808580855452555,VentroMedial_Visual_Area_3_L
17,0.0110991352202929,Ventral_Visual_Complex_L
18,0.141894527552002,Area_FST_L
19,0.138100138227196,Area_Lateral_Occipital_1_L
20,-0.0424642360447712,Area_Lateral_Occipital_2_L
21,0.151504718269047,Area_Lateral_Occipital_3_L
22,0.144156823976327,Medial_Superior_Temporal_Area_L
23,0.132845951894659,Middle_Temporal_Area_L
24,0.117220784352605,Area_PH_L
25,0.0550500051100891,Area_V3CD_L
26,0.0016038489669857,Area_V4t_L
27,-0.0335269028522935,Area_1_L
28,0.135529735916942,Area_2_L
29,0.170115286446851,Area_3a_L
30,0.0666878168848359,Primary_Sensory_Cortex_L
31,0.106396072766366,Primary_Motor_Cortex_L
32,0.154433718069088,Area_23c_L
33,0.0976808673436369,Dorsal_Area_24d_L
34,0.122545656499706,Ventral_Area_24d_L
35,-0.0499870431876136,Area_5L_L
36,0.0263497416395419,Area_5m_L
37,0.146269275332157,Area_5m_ventral_L
38,-0.0111744424618404,Area_6m_anterior_L
39,0.0424396945103686,Area_6mp_L
40,0.0482726069707049,Supplementary_and_Cingulate_Eye_Field_L
41,0.0412072410725866,Area_55b_L
42,0.208851526369236,Area_6_anterior_L
43,0.00274727520752003,Dorsal_area_6_L
44,0.146026408659388,Rostral_Area_6_L
45,0.0169141938012228,Ventral_Area_6_L
46,0.1182531061982,Frontal_Eye_Fields_L
47,0.184491871270605,Premotor_Eye_Field_L
48,0.0776325880305863,Area_43_L
49,0.0743562180335147,Frontal_Opercular_Area_1_L
50,0.178389398116691,Area_OP1-SII_L
51,0.182904702213258,Area_OP2-3-VS_L
52,0.0944831512168415,Area_OP4-PV_L
53,0.546868462644774,Area_52_L
54,0.136124300201472,Primary_Auditory_Cortex_L
55,0.171468317465539,Lateral_Belt_Complex_L
56,0.200462680518706,Medial_Belt_Complex_L
57,0.108451474844269,ParaBelt_Complex_L
58,0.141619629581355,Area_PFcm_L
59,0.1936232581592,RetroInsular_Cortex_L
60,0.0138157297511719,Auditory_4_Complex_L
61,0.0206281902446388,Auditory_5_Complex_L
62,-0.0566680807823144,Area_STGa_L
63,0.0732799612928324,Area_STSd_anterior_L
64,0.138891787868864,Area_STSd_posterior_L
65,0.125702872529292,Area_STSv_anterior_L
66,0.144186331989505,Area_STSv_posterior_L
67,-0.0483029073355556,Area_TA2_L
68,0.2487629718675,Anterior_Agranular_Insula_Complex_L
69,0.27340531600884,Anterior_Ventral_Insular_Area_L
70,0.198468906015158,Frontal_Opercular_Area_2_L
71,0.649718102314744,Frontal_Opercular_Area_3_L
72,0.216255826966618,Frontal_Opercular_Area_4_L
73,0.177610740553855,Area_Frontal_Opercular_5_L
74,0.374206683909638,Insular_Granular_Complex_L
75,0.738877614576712,Middle_Insular_Area_L
76,0.204588342832612,Para-Insular_Area_L
77,0.468944043622439,Pirform_Cortex_L
78,1.17398817251806,Area_Posterior_Insular_1_L
79,0.930654836400252,Posterior_Insular_Area_2_L
80,0.0393187628395433,Hippocampus_L
81,-0.10429565962048,PreSubiculum_L
82,-0.0188861958963505,Entorhinal_Cortex_L
83,0.036257735417507,Perirhinal_Ectorhinal_Cortex_L
84,0.0012931147515533,Area_TF_L
85,0.00851752928839799,ParaHippocampal_Area_1_L
86,0.110335115133993,ParaHippocampal_Area_2_L
87,0.0155001555273847,ParaHippocampal_Area_3_L
88,0.0581201671572016,Area_PHT_L
89,0.0636716128086482,Area_TE1_anterior_L
90,0.103182093805967,Area_TE1_Middle_L
91,0.0841579686182279,Area_TE1_posterior_L
92,-0.0120716269156745,Area_TE2_anterior_L
93,0.0314952996739934,Area_TE2_posterior_L
94,0.0873424442115249,Area_TG_dorsal_L
